document,summary
"b""david fincher spent five years making the soon-to-be released , UNK film `` the curious case of benjamin button , '' but he had little use for the f. scott fitzgerald short story on which it is based .""",b'UNK discusses oscar hopeful benjamin button'
"b'the #### junior world championships of modern pentathlon will be held in the egyptian capital of cairo on july #-## , head of the organizing committee said on saturday .'",b'egypt to host junior world championships of modern pentathlon'
b'president barack obama is heading to the place where the economic meltdown began to argue for stronger government oversight of the industry and to urge congress to finish a regulatory bill before the second anniversary of the crisis .',b'obama keeps up pressure for financial overhaul'
b'president barack obama says it is irresponsible and shameful for wall street bankers to be paid huge bonuses at a time when the american public is dealing with economic hardship .',b'obama calls $ ##b in wall street bonuses outrageous'
b'the u.s. congress is gearing up for a fight about whether to ease restrictions on military ties with indonesia .',b'fight looms in congress over easing indonesian military restrictions'
"b""a buddhist monk who mediated talks between detained opposition leader aung san suu kyi and burma 's military junta said he was confident the nobel peace prize winner would be freed soon , a daily reported sunday .""",b'aung san suu kyi to be released soon mediator monk says'
"b""two men accused of hiring hit men to kill a rival genovese crime family associate in brooklyn will now face murder charges in state court despite beating a similar federal charge for the same shooting , new york state 's highest court ruled thursday .""",b'new york s highest court oks state murder trial for suspects in mob hit'
"b""george w. bush 's outsized , $ ##.# million campaign war chest , more money than any candidate has raised so early in any presidential election season , was the driving subject of conversation thursday among candidates and political experts who said it would have an inevitable impact on his competitors and reshape the landscape of campaign finance for the #### election .""","b""bush 's big bankroll and what it means"""
"b'UNK , iraq -- there is no war yet in this kurdish mountain village , which sits about half a kilometer -lrb- one-third of a mile -rrb- from the guns of a turkish border post .'",b'no war no peace villagers live in fear of turkish bombardment'
"b'two women released by colombian rebels were greeted with kisses and tears after years of captivity in the jungle , amid calls for the release of hundreds more hostages still held .'",b'colombian hostages released to tearful reunion with families'
"b""iranian and russian engineers began loading fuel into iran 's first nuclear power plant on saturday , a major milestone as tehran forges ahead with its atomic program despite u.n. sanctions .""",b'iran begins fueling first nuclear reactor'
"b""every one of #,### UNK models of the first locomotive to see service in taiwan was sold on wednesday , national railway day and the ###th anniversary of the inauguration of the island 's first railway line .""",b'models of restored locomotive sell like hot cakes'
"b""lockheed martin corp. , the world 's largest defense contractor , said tuesday that second quarter earnings rose ## percent on higher sales across most of its businesses , including fighter jets , missile defense and information technology .""",b'lockheed says second quarter earnings up ## percent lifts forecast'
"b""the environment in china 's western regions will become the priority of the country 's forestry industry , said a senior official wednesday at the western forum being held here .""",b'china to improve environment in western regions'
b'police say they have detained five people suspected of planning to carry out a terror attack in france .',b'french police arrest # terror suspects'
b'egyptian religious affairs minister mohammed ali UNK opened the first conference for egyptian clerics on sunday calling on islam to distance itself from extremism .',b'islam urged to shun extremism at first moslem cleric meeting'
"b""america 's cup holder alinghi and american rival bmw oracle won both of their races on the first day of the latest louis vuitton act warmup regatta on thursday .""",b'alinghi bmw oracle lead after first day of racing'
"b'boston rhp james shields was headed for the starbucks in the lobby of the team hotel around #:## monday morning when manager joe maddon , cautiously , approached his extremely focused starter with the news that the season opener had been postponed .'",b'one-day delay no big deal to shields'
b'former spanish prime minister felipe gonzalez met with venezuelan leader hugo chavez on tuesday and discussed subjects ranging from socialism to regional integration .',"b""former spanish prime minister meets venezuela 's chavez"""
"b""philippine president gloria macapagal arroyo will assume the position of foreign secretary in concurrent capacity when vice-president teofisto guingona bows out on july ## , arroyo 's spokesman said on wednesday .""",b'philippine president to temporarily run department of foreign affairs'
"b""opposition parties , which boycotted legislative polls in #### , said thursday they are pressing ahead with plans to hold a conference on bahrain 's `` constitutional crisis '' although the government said they needed prior authorisation .""",b'bahrain opposition parties to hold conference on constitutional crisis'
b'the omens now favor boris yeltsin in his bid to be re-elected president of russia .',"b""russia 's general uncertainty"""
"b'wearing t-shirts calling for regime change in the united states but not in cuba , members of an american humanitarian aid group arrived to havana early saturday protesting u.s. policy against the communist-run island .'",b'humanitarian group arrives to cuba on relief trip protesting u.s. policy'
"b""an ivory coast official says leaders have halted the government 's review of the electoral roll , a decision that could indefinitely postpone this year 's presidential election .""",b'ivory coast halts vote registration delaying vote'
"b'chinese top legislator wu bangguo met with marseilles mayor jean-claude gaudin on tuesday , vowing to further cooperation at the local level between china and france .'",b'china france pledge to upgrade UNK cooperation'
"b""u.s. retail sales rose less than expected in november as a drop in gasoline prices and calendar changes curtailed consumers ' contribution to the economy , government figures showed .""",b'u.s. retail sales rose #.# % in november ; ex-autos rose #.# %'
"b""pakistan 's prime minister tuesday denied that his country 's intelligence agency had any hand in the suicide bombing that killed ## people outside the indian embassy in the afghan capital .""",b'pakistan denies hand in suicide bombing outside indian embassy in kabul'
"b""a jailed investigative journalist on hunger strike said iran 's supreme leader ayatollah ali khamenei would be happy to see him die in prison .""",b'hunger-striking journalist says hardline iranian leaders want him dead'
"b'jordan and israel will sign five cooperation accords including one for a joint airport at the red sea resort of aqaba in a ceremony hosted by crown prince hassan ibn talal , officials said saturday .'",b'jordan israel to sign five cooperation accords'
b'a cbs UNK york times poll found a majority of americans think congress should not continue to fund the war unless a timetable for withdrawal is put in place .',b'poll shows most americans support iraq withdrawal timetable'
"b'john maclean is happy , and now so are the devils .'",b'devils are hoping trade helps maclean and them'
"b""the russian parliament is to consider voting an amnesty on the chechen UNK ' political and military leaders , the interfax agency reported monday .""",b'duma to consider amnesty for chechen rebel leaders'
"b""sean casey 's deep blue eyes flash under his tousled hair and he speaks in his gee-whiz conversational tone no matter where he is , what he is doing or to whom he is talking .""","b""reds glad to have mighty casey 's bat"""
"b'swept to power by younger , better-educated voters fed up with corruption and one-party rule , president-elect vicente fox on monday began the transition of mexico from a republic headed for decades by an autocratic president to one in which political power suddenly seemed up for grabs .'",b'mexico voting in new leader begins political sea change'
"b'argentine david nalbandian on sunday defeated compatriot jose acasuso to win the buenos aires open , his eighth association of tennis professionals -lrb- atp -rrb- title , with a set score of #-# , #-# and #-# .'",b'argentine nalbandian wins buenos aires open tennis'
"b""fifteen people , including a senior indian army officer and a `` top '' militant , were killed and five other injured in india-controlled kashmir since monday evening , the press trust of india -lrb- pti -rrb- reported on tuesday .""",b'## killed in kashmir'
"b'an indian medical student gave birth to a baby on board an aircraft from belarus to india and then tried to abandon it , reported the local daily the times of india thursday .'",b'indian student gives birth on aircraft attempting to abandon'
"b'hong kong share prices closed #.## percent higher at a ##-month high on monday , bolstered by gains on wall street and continued liquidity , dealers said .'",b'hong kong shares close up #.## percent'
"b'finland will provide ###,### euros -lrb- ###,### u.s. dollars -rrb- in emergency aid to myanmar , finnish foreign ministry said in a statement on wednesday .'",b'finland to give myanmar emergency aid'
"b""UNK 's equalizer in ajax 's #-# draw at de graafschap doetinchem sunday gained the amsterdam club some breathing space atop the dutch premiership as chief rival feyenoord lost #-# at nac breda .""",b'point enough to keep ajax on top'
"b""they staged fender benders all over the city , then treated the `` victims '' for fake cases of whiplash and back pain , the authorities said , performing unnecessary medical tests , then handing out remedies like UNK mattresses , bed boards , cervical collars and heating pads as if they were candy .""",b'## charged in plan to stage fender UNK for profit'
"b'surface-to-air missiles spring up like weeds , but the pilot evades them with twists and dives that would make a normal flier black out .'",b'project takes the pilot out of jets in dangerous combat'
"b""for UNK chang , a yiddish UNK at wenzao ursuline college of languages in kaohsiung , southern taiwan , `` doing what nobody has done '' and `` doing what others would rather not '' are her lifelong UNK .""",b'yiddish UNK chooses to do what others would rather not'
"b'egypt will attend an extraordinary islamic summit in march in pakistan which will discuss jerusalem as well as bilateral relations , a senior foreign ministry official said here on sunday .'",b'egypt to attend islamic summit in pakistan in march'
"b""the democratic people 's republic of korea -lrb- dprk -rrb- wished an early improvement of relations with south korea , the dprk 's rodong sinmun said friday .""",b'dprk hopes for early improvement of inter-korean relations'
"b'an russian orthodox priest who was an outspoken critic of both islam and ultra - nationalist groups was shot dead in his moscow church by a masked assassin , investigators said friday .'",b'orthodox priest critical of islam shot dead in moscow'
"b""australia 's todd woodbridge and mark woodforde headed a class of seven inductees into the international tennis hall of fame on saturday .""",b'woodies lead #### hall of fame class'
"b""joint top-seed monica seles defeated japan 's ##th-ranked naoko sawamatsu #-# -lrb- #-# -rrb- , #-# in the second round of the french open tennis championships here on wednesday .""",b'seles advances in french open tennis'
"b'talking about the opportunities , the latest developments in science and technology are what should be taken advantage of by the chinese , a distinguished scientist told reporters .'","b""famous scientist 's new thought at party congress"""
"b'a group of muslims who fled china after deadly ethnic rioting and sought asylum in cambodia have been sent back home , even though rights groups fear they face persecution there .'",b'cambodia sends uighur asylum-seekers back to china'
"b'stock in dell computer corp. , one of the leading barometers of the global computer industry , rose nearly # percent friday after the company reported record sales and sharply higher profits in its latest quarter as sales of servers and storage devices surged .'",b'shares surge after dell computer posts higher profits record #th quarter sales'
"b'the international airport expansion project in chittagong , the largest port city and commercial capital of bangladesh , was inaugurated today with the aim of enabling the airport to handle wide-bodied aircraft on any international route .'",b'bangladesh expands airport in port city'
"b""a team of paleontologists has found an intact and complete skeleton fossil of a previously undiscovered dinosaur species in north china , the team 's leading scientist xu xing said saturday .""",b'new species of dinosaur found in n china'
"b'the u.s. dollar slipped against the japanese yen late monday morning , while prices on the tokyo stock exchange rose moderately in light trading .'",b'dollar slips stocks gain in morning trading'
"b'the u.n. ordered children of its international staff to leave the pakistani capital and other areas it considered unsafe , raising its security level following the bombing of the marriott hotel , the world body said thursday .'",b'un raises pakistan security after hotel bombing'
b'former france and arsenal midfielder emmanuel petit said coach raymond domenech made a mistake by omitting the experienced patrick vieira in his provisional list for the world cup .',b'petit stands up for former teammate vieira'
"b'placido domingo , director of the washington national opera , will both sing and conduct in the ####-# season .'",b'domingo to sing and conduct national opera in ####-# season'
"b""malaysia has not frozen the recruitment of workers from india , a cabinet minister said tuesday , denying earlier reports by his government 's officials that triggered a major furor in india .""",b'malaysia backtracks on report of bans on indian workers after major furor in india'
"b""patrick roy , suspended by the montreal canadiens after a clash with the team 's coach and president , was traded to the colorado avalanche on wednesday in a five-player deal .""",b'roy traded to avalanche in five-player deal including UNK rucinsky'
"b""the leader of oil-rich venezuela 's top union federation on tuesday extended through wednesday a general strike aimed at bringing down hugo chavez , and urged the president 's political foes to take to the streets .""",b'embattled chavez faces tense prolonged general strike in venezuela'
"b""delta air lines inc. , the united states ' third-largest carrier , pushed ahead with its effort to emerge from bankruptcy as a standalone company by formally asking a court to approve the disclosure statement to its reorganization plan .""",b'delta air lines pushes ahead with standalone reorganization'
"b""good health is a `` precious gift , '' queen elizabeth ii said in her annual commonwealth day message , adding praise for governments that have tackled hiv and aids .""","b""public health focus of the queen 's commonwealth day speech"""
"b""ual corp. 's third-quarter earnings rose #.# percent , more than expected , spurred by a surge in september travel and lower fuel costs .""","b""ual corp. 's #rd-qtr profit rises #.# % topping estimates"""
"b'hong kong share prices closed #.## percent lower in morning trade wednesday on rising worries about the prospects of a us war against iraq , dealers said .'",b'hong kong shares close morning #.## percent lower'
"b""a ceremony sunday in austria marking the anniversary of the nazi `` kristallnacht '' attack on the jews was disrupted by anti-israeli protestors , police said .""",b'anti-israeli protestors disrupt UNK marking nazi pogrom in austria'
b'a long-simmering investigation into death squads that hunted down basque separatists took a potentially explosive turn tuesday as a high court judge jailed a third former senior police official in relation with the attacks .',b'judge jails two in police death squad investigation'
"b""eddie ` the eagle ' edwards , one of britain 's great sporting flops , believes his daughter may follow in his footsteps .""",b'eddie the eagle backs daughter UNK to be high flier'
"b""nathan astle will play in new zealand 's last world cup match against canada here on monday , but two key players will sit out due to injuries .""",b'astle returns for canada match'
"b""two weeks after deciding not to run for president , u.s. sen. christopher j. dodd threw his support on monday behind his fellow until monday , some of dodd 's most enthusiastic supporters had held out hope that despite his recent announcement declining to run for president next year , he might still change his mind .""",b'dodd endorses lieberman for president'
"b'oil prices dropped more than a dollar on monday after rocketing to record heights near ### dollars per barrel late last week , but some analysts warned of a bubble that could burst soon .'",b'oil price dip after record run close to ### dollars'
"b""with fewer than ##,### UNK delivered to customers last year , mitsubishi is a bit player in the american light truck market , and , what 's worse , that paltry figure represented a decline of #,### from #### -- in a market that continued to grow strongly .""",b'mitsubishi introduces light sport'
"b'the us economy expanded three percent in the first three months of the year , sharply higher than initially estimated , the commerce department said friday .'",b'us economy expands three percent in first quarter'
"b""authorities in india 's northeastern state of assam on tuesday offered safe passage to an armed separatist group so its leaders could emerge from hiding and formalize a cease-fire agreement with the government .""","b""india 's assam state government offers rebel leaders safe passage for talks"""
"b""in a sign of the times in europe 's biggest economy , poodles , UNK , terriers , and sheep dogs are queuing up for rations at berlin 's first soup kitchen for pets .""",b'as recession bite germany opens pet soup kitchens'
"b'employees at a carlsberg warehouse on the outskirts of copenhagen returned to work monday , ending a five-day strike over a decision to cut their daily ration of free beer , their union said .'",b'carlsberg workers end strike over cut beer rations'
"b""carolyn peters , a longtime friend of dorsey 's , also suspected dorsey was n't always taking his medication .""",b'family friends suspected driver missed medication'
"b""pakistani foreign minister sartaj aziz friday expressed regrets over india 's large chemical weapons stockpiles .""","b""pakistan regrets india 's stockpiling of chemical arms"""
"b'it has been nearly two weeks since primary day in california , and stephen weir is still ironing ballots .'",b'primary day is over but california is still ironing out vote count'
"b'the cambodia international trade fair , organized by top repute co. .'",b'international trade fair opens in cambodia'
"b'arantxa sanchez vicario claimed the victory in the first wta clay court tournament of the season with a #-# , #-# and #-# win over barbara paulus of austria at the UNK circle cup in hilton head , south carolina on sunday .'",b'sanchez wins family circle cup tennis'
"b'japanese share prices closed #.## percent lower thursday as investors took some profits on recent strong gains and fretted over rising oil prices , dealers said .'",b'tokyo stocks end lower on profit-taking'
"b""european stock markets dropped in early trading on thursday in the wake of sharp falls overnight in new york as us investors fretted about a possible rise in the country 's interest rates .""",b'euro stocks fall after wall street panics over interest rates'
"b'these columns for release tuesday , august ## , #### , are moving today to clients of the new york times news service .'",b'cox news service tuesday commentary budget'
"b""in seattle , united airlines chairman gerald greenwald formally accepted the keys to his brand-new boeing ### jet on wednesday , saying the airline 's ##,### employees are `` taking the baton to run the race of the ##st century .""",b'boeing hands over ##st-century jet to its first buyer'
"b'norway registered a current account surplus of #.# billion kroner -lrb- #.## billion dollars -rrb- in november , the central statistics bureau announced on tuesday .'",b'norway registers current account surplus in november'
"b'parliamentary elections in the tiny indian ocean island state of the comoros began late on sunday , with polls in the capital moroni opening at #:## as against the official time of #:## am .'",b'late start to voting in comoros elections'
"b""ireland 's unemployment rate held steady at #.# percent in february for the fourth month in a row , official figures showed friday .""","b""ireland 's unemployment rate remains at #.# percent in february"""
"b""the international olympic committee -lrb- ioc -rrb- will send a representative to a martial arts contest in north korea in august , the north 's state media said monday .""",b'ioc representative to visit north korea'
"b""for the second time in three weeks , tens of thousands of taiwanese marched sunday to demand the resignation of premier lien chan for the government 's failure to curb violent crime .""","b'about ##,### march to demand resignation of premier lien'"
b'recent reports about data security breaches and privacy intrusions are starting to shake the confidence of many americans .',b'poll says identity theft concerns rose after high-profile breaches'
"b'iran warned washington on tuesday to stay out of its internal affairs , amid us newspaper reports the white house was contemplating stirring up a popular revolt against the islamic republic .'",b'iran warns us not to meddle in its affairs'
"b""disgraced track star marion jones says in her first post-prison interview she often thinks she would have won gold medals at the #### sydney olympics even if she had n't taken performance-enhancing drugs .""",b'marion jones gives winfrey post-prison interview'
"b""the santa monica , calif.-based game company snagged ##.# percent of the market for games played on consoles in #### , besting ea 's ##.# percent share , according to research company npd group .""",b'activision vaults into no. # in video game sales'
"b'frank woodruff buckles , the last known living american-born veteran of world war i , was honored sunday at the liberty memorial during memorial day weekend celebrations .'",b'last known wwi veteran honored in memorial day weekend ceremony in missouri'
"b""parliament overwhelmingly rejected on tuesday a basque plan for `` shared sovereignty '' between that part of northern spain and the country as a whole .""",b'parliament rejects basque autonomy plan'
"b""the irish , who have historically turned their backs to the surrounding sea , watching as the vikings and other invaders created all the island 's major ports , have been coming to dublin bay by the tens of thousands in recent days to see the largest warship ever to drop anchor in these waters .""",b'u.s. carrier visits dublin but not all are pleased'
b'the dollar fell below ### yen in tokyo friday on speculation about higher interest rates here while finance minister hiroshi mitsuzuka added his voice to a seeming government drive for a stronger yen .',b'dollar slips below ### yen on another UNK remarks'
"b""new zealand will be hoping to make up for their one-day series drubbing as they take on pakistan here wednesday in the first of two tests billed as the `` beat the heat '' tour .""",b'the heat is on as new zealand open test series with pakistan'
"b""after last week 's protest opposite the un offices here by a government minister , sri lanka 's main opposition united national party -lrb- unp -rrb- has joined subjecting un to criticism .""",b'sri lankan main opposition joins un slamming'
"b""new zealand beat india in the first limited-overs cricket match saturday after a power failure at owen delany park forced officials to UNK the home side 's scoring rate .""",b'new zealand wins after power failure'
"b""former beatle paul mccartney was awarded an honorary professor 's title on thursday by the saint petersburg conservatory , where pyotr tchaikovsky and other famous composers studied .""",b'ex-beatle mccartney made honorary professor at tchaikovsky conservatory'
"b'even though stephane fiset was pulled early in the second period tuesday night , he knew there would be a few more shots fired his way .'",b'fiset accepts blame for loss to senators'
"b""two-time defending champion hale irwin fired his second straight #-under-par ## friday to take a four-stroke lead after ## holes at the pga seniors ' championship .""",b'irwin leads after second round at seniors championship'
"b""le kha phieu , general secretary of the central committee of the communist party of vietnam , today visited guangzhou , capital of south china 's guangdong province .""",b'vietnamese leader visits guangzhou'
"b'iac\\/interactivecorp , the internet company controlled by media mogul barry diller , plans to relaunch its UNK web site monday with new games , more prizes and plans to add social networking functions .'",b'barry diller s iac revamps UNK ; social networking functions in the works'
"b""when thomas `` big pooh '' jones and his partners UNK coleman and pat `` #th wonder '' UNK -- collectively known as the daring hip-hop trio little brother -- play any city in america , they look for hole-in-the-wall joints that serve down-home food .""",b'little brother aspires to big things on UNK show'
"b""their voices shaking with emotion at times , the seven fired white house UNK employees accused the clinton administration wednesday of abusing its power when it dismissed them nearly three years ago and of continuing to spread `` lies '' about them , especially former director billy r. dale .""",b'UNK employees accuse clinton administration'
"b""us president barack obama said saturday he wants a new push to train afghanistan 's army and police after the country 's august elections , in an interview with britain 's sky news television .""",b'obama wants new push to train afghan army police post-election'
"b'eleven people were killed and more than ## others wounded on wednesday in heavy artillery exchange between the somali government forces backed by the african union peacekeepers and insurgent fighters in mogadishu , health officials and residents said .'",b'eleven die in mogadishu shelling'
"b'israeli police on thursday briefly detained three greenpeace activists who boarded a cargo ship transporting coal to a power station in southern israel , a police spokesman said .'",b'three greenpeace activists arrested off israel coast'
"b""retiring italian designer valentino said former top model carla bruni is `` too busy '' to attend his last fashion show , media reports said monday .""",b'designer valentino says carla bruni too busy to attend his final runway show'
b'bulgarian president zhelyu zhelev arrived sunday for a four-day visit aimed at strengthening economic ties with south korea .',b'bulgarian president arrives to strengthen economic ties'
"b""aleksandr karpovtsev 's season-ending wrist surgery has been postponed until march ## , his agent said friday , because the wrist was inflamed following a tuberculosis test .""","b""karpovtsev 's surgery on wrist postponed"""
"b""the senate voted tentatively wednesday to siphon $ ### billion from president bush 's $ #.# trillion tax cut , but republicans served notice immediately they would attempt to reverse the decision .""",b'senate votes to trim tax cut'
"b'one palestinian was killed tuesday at a refugee camp in central gaza strip by israeli troops gunfire , palestinian medical sources reported .'",b'one palestinian killed in southern gaza'
"b""the clinton administration gave colombia 's president , ernesto samper , a failing grade in its drug certification process thursday .""",b'us chastizes colombia on drug fight but lifts sanctions'
"b""us secretary of state condoleezza rice pushed israel and the palestinians on tuesday to renew peace talks that were dealt a major blow by israel 's deadly assault on the hamas-run gaza strip .""",b'rice tells israel and palestinians to do more for peace'
"b'the iraqi cabinet decided tuesday to reopen negotiations on a security pact intended to give u.s. forces the legal authority to stay in the country beyond dec. ## , further delaying an agreement that american officials had hoped to conclude by now .'",b'iraq seeks changes to security pact'
"b""latin american governments , worried that the upcoming meeting of western hemisphere presidents will be merely a `` photo opportunity , '' are pressing the clinton administration for concrete trade initiatives , a group of latin ambassadors said monday .""",b'latin americans wants u.s. trade initiatives'
"b'microsoft has accused the european commission of seriously prejudicing its rights of defense in a long-standing anti-trust conflict by denying it access to key documents , the software giant said thursday .'",b'microsoft hits out at eu regulators in antitrust case'
"b""some #,### middle and primary school students in beijing have become the first group of readers to join china 's biggest municipal public library , according to today 's china daily .""",b'modernized library enchants children readers'
"b""world no. # carol owens of new zealand battled to a #-# , #-# , #-# , #-# victory friday over vanessa atkinson of the netherlands to advance to the final of the world women 's squash open .""",b'top-seed carol owens advances to final'
b'the angels will have to wait a day to try to finish off the yankees in the major league baseball playoffs after rain forced postponement of their american league first-round game saturday .',b'rain postpones UNK playoff clash'
"b'eight persons were killed and ## injured thursday when the bus in which they were traveling overturned on UNK highway near UNK village in west bengal , northeast india , according to the press trust of india -lrb- pti -rrb- .'",b'# killed ## injured in bus accident in northeast india'
"b'at least ## persons were injured , four of them seriously , when a jeep carrying them dashed against a tree in north india , police said tuesday .'",b'## injured as jeep hits tree in india'
b'those of us with monitor tans start getting nervous whenever congress takes up internet legislation .',b'throwing baby out with the smut'
"b""indonesia 's coordinating minister for economy , finance and industry kwik kian gie said here monday that the state budget for fiscal year #### needs to be revised if the exchange rate of rupiah stands at #,### per u.s. dollar .""","b""indonesia 's budget may need to be revised minister"""
"b""the united nations ' top human rights official is calling for the u.s. and iraq to investigate allegations of detainee abuse contained in wikileaks ' release of american military documents .""",b'un calls for us iraqi probe of wikileaks reports'
"b'australian shares tumbled #.## percent tuesday on a combination of weak local earnings figures and heightened global security fears after north korea test fired a missile into the sea of japan , dealers said .'",b'australian shares close down #.## percent'
"b""the french government is `` reasonably optimistic '' about the `` solid '' growth forecast in #### , while remaining `` attentive '' to the evolution of oil prices and the dollar , french government spokesman jean-francois cope said on wednesday .""","b""france to be attentive to oil prices dollar 's evolution"""
b'carmelo anthony scored ## points and chauncey billups added ## to help the denver nuggets beat the indiana pacers ###-## on tuesday for their best start in ## years .',b'nuggets rout pacers to remain unbeaten'
"b""a passenger ferry plowed into a pleasure boat under sydney 's iconic harbour bridge , killing at least three people , including two professional figure skating judges , and injuring eight others , officials said thursday .""",b'# killed # injured in ferry collision on sydney harbor'
"b'families located in alaska , utah , and wyoming are expected to save the most money from the dole tax proposal , according to an analysis by the republican national committee .'",b'dole tax plan saves families in alaska utah and wyo.'
"b'police in sicily say they have cracked down on cozy cosa nostra ties between mobsters and local politicians and businessmen , arresting ## suspects and seizing hundreds of millions of euros in assets .'",b'police in sicily arrest mobsters politicians'
"b""the hunt for swedish foreign minister anna lindh 's killer went into a new hot phase on tuesday as police , believing the fugitive knifeman to be hiding in stockholm , issued an arrest warrant .""",b'lindh killer chase heats up as police issues arrest warrant'
b'luke donald shot a #-under ## friday for his ##th straight round at the byron nelson champions in the ##s and took a one-stroke lead over a trio led by defending champion brett wetterich .',b'another UNK round finally puts donald in lead at nelson'
"b""british prime minister gordon brown slammed zimbabwean president robert mugabe on monday , calling his regime `` desperate and criminal '' and saying he must not be allowed to `` steal '' the election .""",b'britain us slam desperate and criminal mugabe'
"b'a car bomb blamed on irish republican army dissidents damaged several businesses but caused no injuries tuesday in the northern ireland city of londonderry , the sixth such attack this year in the british territory .'",b'ira dissident bomb in londonderry hits businesses'
"b'democrats and republicans in congress pressed ahead on thursday with negotiations on an economic recovery package , seeking to overcome substantive differences even as they positioned themselves to avoid blame if their efforts failed .'",b'congress still at odds on economic stimulus package'
"b""two of america 's largest companies , citicorp and travelers group inc. , agreed on monday to a merger that would create the world 's largest financial services concern .""",b'citicorp travelers agree to merge creating financial giant'
"b'france is willing to join a high-level conference on bringing peace to iraq that aims to include regional players and their western rivals , the french foreign minstry said on wednesday .'",b'france willing to join iraq peace conference'
"b'the cops cuffed cupid wednesday , arresting an international matchmaker accused of breaking dozens of lonely hearts and defrauding them of millions .'","b""cupid 's arrow halted due to arrest"""
"b'malaysia has scrapped a plan to stamp out music and video piracy by slashing prices of cds and vcds , after distributors protested the move could bankrupt them .'",b'malaysia backs off plan to curb video and music piracy'
b'fifteen people are reportedly dead and dozens injured on monday in a landslide caused by torrential rain and floods at a dam in the western romania UNK mountains .',b'landslide kills ## people in western romania'
b'hard-hitting left-hander darren lehmann conceded here monday that he needs to keep batting well to retain his spot in the australian middle-order .',"b""australia 's lehmann knows he must keep performing"""
"b'when a mosque offered to buy a church building and move into this suburb southwest of chicago a few months ago , there were those who worried that it might not be universally welcomed .'",b'uproar over proposed mosque shatters calm of a chicago suburb'
b'the un secretary-general boutros boutros-ghali has expressed his deep concern about accusations of zaire concerning the movement of un troops in zaire .',"b""zaire 's accusations unfounded un secretary-general"""
"b""south american leaders trying to revive their deeply fractured trade bloc agree they must do more to lift the continent 's masses from misery , but two distinct blueprints for charting the region 's economic future emerged at their summit aimed at remaking mercosur .""",b'south american economic models conflict at mercosur summit'
"b""india 's central bank raised interest rates for the second time in a month and ordered lenders to set aside more cash as reserves , seeking to slow the fastest inflation among group of ## nations .""",b'india raises interest rates #nd time in a month'
"b""the national council of mozambique ' s main opposition party , the former rebel movement renamo , has chose viana magalhaes as the party 's new general secretary , the state television tvm reported on sunday .""","b""mozambique 's opposition party chooses new general secretary"""
"b""the leader of the shiite rebels in north yemen said on saturday in a message released on the internet that he will accept the government 's conditions to end the war if attacks against them cease .""",b'yemen rebels say would accept conditional end to war'
"b""former mexican president vicente fox said mexico 's oil industry needs investments in the tens of billions of dollars to find and produce oil and build refineries .""",b'pemex reform has lost too much time ex-mexico president says'
"b""some supporters of the european union 's proposed constitution are urging french president jacques chirac to stop campaigning for the landmark document ahead of a crucial national referendum next week , saying his unpopularity makes him a liability .""","b""chirac urged to keep quiet ahead of crucial vote on eu 's future"""
"b'three africans were arrested while trying to illegally cross from the southern egyptian border city of rafah into israel to seek asylum , a police officer in the northern sinai peninsula said on friday .'",b'egyptian border guards arrest two sudanese one malian attempting to illegally cross into israel'
"b""the city 's health director has banned swimming in one stretch of the rio grande because the death of a ##-year-old boy last month in the mexican town of rio bravo , ## miles south of here , has been traced to UNK , an amoeba that can cause deadly brain infections and is found in the river water .""",b'texas city says rio grande pollution can cause fatal illness'
"b'several hundred roma , or gypsy , representatives from across europe gathered monday at the former nazi death camp auschwitz-birkenau to commemorate more than ##,### roma who perished there .'",b'roma commemorate auschwitz victims'
"b'the only remedy to a series of iraq policy failures by president george w. bush is a democratic takeover of congress in the nov. # election , virginia senate candidate jim webb said saturday .'",b'us senate candidate says iraq turnaround depends on democratic takeover in congress'
b'the boom in corporate mergers is creating concern that illicit trading ahead of deal announcements is becoming a systemic problem .',b'whispers of mergers set off bouts of suspicious trading'
b'wristwatch and clothing retailer fossil inc. said monday it has reached agreement with giorgio armani spa for an exclusive worldwide license to make and sell a line of emporio armani jewelry .',b'fossil strikes deal with armani jewelry'
"b""italian referee pierluigi collina will handle england 's crucial world cup qualifier against germany in munich on sept. # .""",b'italian referee to handle germany-england wcup qualifier'
"b'britain could attract the investment needed to support the shift from recession to recovery and growth by maintaining a world class environment for businesses , prime minister gordon brown said on monday .'",b'british pm says investment underpins economic recovery'
"b""the president-elect wo n't be there , but an obama buzz will crackle through the conference hall when negotiators gather monday for a final push toward a sweeping new global warming treaty .""",b'obama buzz felt at global climate talks'
"b""indonesia 's national election commission said sunday that voting will go ahead as planned in aceh province , which has been plagued by a series of bloody attacks by separatist rebels .""",b'indonesia says voting will go ahead despite violence in aceh'
b'irish world cup keeper pat bonner was ditched by scottish club here on monday .',"b""ditched bonner 's world cup pledge"""
"b'three indonesian policemen were injured by the explosion of a home-made bomb which was being kept as evidence in a court case , the state antara news agency said .'",b'indonesian policemen wounded when bomb kept as evidence explodes'
"b""three cases of sars have been detected in east china 's zhejiang province , a part of the country where no cases had been reported previously , state media said sunday .""",b'china reports first three sars cases in eastern zhejiang province'
"b""europe 's main stock markets rose on monday following strong gains across asia and amid takeover activity involving the energy and pharmaceutical industries .""",b'european stocks rise in wake of asian gains'
